! azimuth/altitude grid; # points = 108
 
! azimuth	altitude
!  (deg) 	  (deg)
   -93.5            74.6
   -121.3           61.2
   -158.7           31.1
   -105.8           52.2
   -61.29           28.71
   -115.6           81.1
   -69.65           20.35
   -98.4            45.8
   -175.8           55.5
   -110.3           31.1
   -65.47           24.53
   -125.6           65.5
   -57.12           32.88
   -95.5            70.1
   -38.00           12.00
   -27.88           62.12
   -52.94           37.06
   -78.00           12.00
   -40.41           49.59
   -73.82           16.18
   -36.24           53.76
   -15.35           74.65
   -25.47           82.5
   -48.76           41.24
     2.00           12.00
    -7.00           83.00
   -44.59           45.41
   -32.06           57.94
   -23.71           66.29
   -33.82           16.18
   -12.12           32.88
    10.35           81.0
    -7.94           37.06
    37.06           37.06
   -16.29           28.71
   -19.53           70.47
    14.53           24.53
    32.88           32.88
   -29.65           20.35
    23.76           53.76
   -11.18           78.82
     6.84           45.41
     6.18           16.18
    39.94           57.94
    50.35           20.35
     2.66           41.24
    54.09           41.24
    42.00           12.00
    66.29           66.29
    28.71           81.5
    82.06           37.06
    58.27           45.41
    19.59           49.59
    73.71           28.71
    79.59           49.59
    62.12           62.12
    77.88           32.88
    46.18           16.18
    94.53           24.53
   111.94           57.94
    82.00           12.00
    54.53           24.53
   100.47           70.47
   139.59           49.59
    90.35           82.0
   126.18           16.18
   109.70           45.41
    86.18           16.18
    83.76           53.76
   105.52           41.24
   104.65           74.65
   134.53           24.53
   152.12           62.12
   167.88           32.88
   166.18           16.18
   127.06           37.06
   162.00           12.00
   118.71           28.71
   163.71           28.71
   130.35           80.5
   170.35           20.35
   122.88           32.88
   122.00           12.00
   156.29           66.29
   161.13           45.41
   174.53           24.53
   183.94           57.94
   156.95           41.24
   199.59           49.59
   143.76           53.76
   208.38           41.24
   168.82           78.82
   214.53           24.53
   172.06           37.06
   202.00           12.00
   208.71           28.71
   224.65           74.65
   212.88           32.88
   210.35           81.0
   220.47           70.47
   254.53           24.53
   203.76           53.76
   246.18           16.18
   206.18           16.18
   255.94           57.94
   212.55           45.41
   257.88           32.88
   259.59           49.59
   263.76           53.76
   217.06           37.06
   262.06           37.06
   263.98           45.41
   250.35           20.35
   259.81           41.24
   246.29           66.29
   242.00           12.00
   242.12           62.12
   253.71           28.71
   276.8            30.5
   321.5            61.8
   300.0            80.0
   280.1            75.1
   340.0            54.5
   295.8            32.2
   240.6            45.5
   290.5            16.1
   320.8            24.0
   345.5            75.8
